File;Original;közvetlen;fordított
0.ogg;Startup sound;;
1.ogg;Waiting for the network configuration.;Várom a hálózati beállításokat;Várja a hálózati konfigurációt.
2.ogg;Unable to connect to the wifi network. Please check wifi password and try again later.;Nem tudtam kapcsolódni a wifihez, kérlek ellenõrizd a jelszót;Nem tud csatlakozni a wifi hálózathoz. Kérjük, ellenõrizze a wifi jelszót, és próbálja meg késõbb újra.
3.ogg;Unable to connect to the server. Please check your local network and try again later.;Nem tudtam kapcsolódni aszerverhez, kérlek ellenõrizd a hálózatodat.;Nem sikerült csatlakozni a kiszolgálóhoz. Kérjük, ellenõrizze a helyi hálózatot, és próbálja meg késõbb újra.
4.ogg;Robot has exited network configuration mode.;Kiléptem a hálózat beállítási módból.;A robot kilépett a hálózati konfigurációs módból.
5.ogg;Network connected successfully.;Sikerült kapcsolódnom.;A hálózat sikeresen csatlakozott.
6.ogg;Network connection failed. Please try again later.;Nem sikerült kapcsolódnom. Próbáld meg késõbb.;A hálózati kapcsolat sikertelen. Kérjük, próbálja meg késõbb újra.
7.ogg;Start cleaning.;Elkezdem a takarítást.;Kezdje el a tisztítást.
8.ogg;Start spot cleaning.;Elkezdem a kijelölt terület tisztítását.;Helyszíni tisztítás megkezdése.
9.ogg;Start scheduled cleaning.;Elkezdem az ütemezett takarítást.;Idõzített tisztítás indítása.
10.ogg;Start resuming cleaning.;Folytatom a takarítást;Folytatólagos tisztítás megkezdése.
11.ogg;Paused.;Rendben. Addig itt várok.;Szüneteltetés.
12.ogg;Cleaning task completed.;Végeztem a takarítással.;Takarítási feladat befejezve.
13.ogg;Returning to the dock to charge.;Visszamegyek az állomáshoz, tölteni.;Visszatérés a dokkolóba töltéshez.
14.ogg;Low battery. Returning to the dock to charge. Robot will resume working after charging.;Lemerült az akkumulátorom. Visszamegyek a dokkolóhoz feltölteni. Töltés után újra lehet használni.;Alacsony töltöttségû akkumulátor. Visszatérés a dokkolóhoz töltéshez. A robot a feltöltés után folytatja a munkát.
15.ogg;I'm about to return to the starting point.;Mindjárt visszatérek a kiindulópontra.;Vissza fogok térni a kiindulási pontra.
16.ogg;Low battery. I'm about to return to the starting point. Please charge me.;Lemerült az akkumulátorom. Visszatérek a kiindulópontra. Kérlek tölts fel.;Alacsony az akkumulátor töltöttsége. Mindjárt visszatérek a kiindulási pontra. Kérem, töltsön fel.
17.ogg;Please move robot to the dock to charge.;Kérlek vigyél vissza az állomásra feltölteni.;Kérem, vigye a robotot a dokkolóhoz a töltéshez.
18.ogg;Charging.;Okés, töltõdöm.;Töltés.
19.ogg;Please move robot from the dock before turning it off.;Kikapcsolás elõtt vegyél ki a dokkolóból.;Kérem, vigye el a robotot a dokkolóból, mielõtt kikapcsolja.
20.ogg;Low battery.;Lemerült az akkumulátorom.;Alacsony az akkumulátor töltöttsége.
21.ogg;Low battery. Robot will turn off.;Alacsony az akkumulátorom töltöttsége. Kikapcsolok.;Lemerült az akkumulátor. A robot kikapcsol.
22.ogg;Please move robot to an area that needs to be cleaned.;Kérlek vigyél oda, ahol takarítanom kell.;Kérjük, vigye a robotot egy olyan területre, amelyet meg kell tisztítani.
23.ogg;Water tank has been installed.;Víztartály telepítve.;A víztartály már telepítve van.
